,precision,recall,f1-score,support
class_0,0.9939105613701237,0.8648305552489237,0.9248885871971194,18118.0
class_1,0.24422780913288866,0.8561151079136691,0.38003992015968063,556.0
class_2,0.7636871508379889,0.944060773480663,0.8443483631871527,1448.0
class_3,0.2052401746724891,0.8703703703703703,0.3321554770318021,162.0
class_4,0.9347442680776014,0.9888059701492538,0.9610154125113327,1608.0
accuracy,0.8789968938424996,0.8789968938424996,0.8789968938424996,0.8789968938424996
macro avg,0.6283619928182184,0.9048365554325759,0.6884895520174176,21892.0
weighted avg,0.9494609400036964,0.8789968938424996,0.9039910478228834,21892.0
