,precision,recall,f1-score,support
class_0,0.9885057471264368,0.9066122088530743,0.945789549445804,18118.0
class_1,0.35618729096989965,0.7661870503597122,0.48630136986301364,556.0
class_2,0.8175675675675675,0.9191988950276243,0.8654096228868661,1448.0
class_3,0.2132921174652241,0.8518518518518519,0.3411619283065513,162.0
class_4,0.8614190687361419,0.9664179104477612,0.9109026963657678,1608.0
accuracy,0.9078658870820391,0.9078658870820391,0.9078658870820391,0.9078658870820391
macro avg,0.6473943583730539,0.8820535833080049,0.7099130333736006,21892.0
weighted avg,0.946068896565456,0.9078658870820391,0.9217664681429248,21892.0
