,precision,recall,f1-score,support
class_0,0.9905121170553269,0.956507340766089,0.9732127814904251,18118.0
class_1,0.5052264808362369,0.7823741007194245,0.6139731827805223,556.0
class_2,0.8552795031055901,0.9509668508287292,0.9005886200130805,1448.0
class_3,0.4808362369337979,0.8518518518518519,0.6146993318485523,162.0
class_4,0.9615384615384616,0.9794776119402985,0.9704251386321626,1608.0
accuracy,0.952631098118034,0.952631098118034,0.952631098118034,0.952631098118034
macro avg,0.7586785598938828,0.9042355512212786,0.8145798109529485,21892.0
weighted avg,0.9633427049692754,0.952631098118034,0.9564277133714789,21892.0
