,precision,recall,f1-score,support
class_0,0.9944643834783138,0.902307097913677,0.946146945626067,18118.0
class_1,0.31282722513089006,0.8597122302158273,0.4587332053742802,556.0
class_2,0.8369829683698297,0.9502762430939227,0.8900388098318239,1448.0
class_3,0.233387358184765,0.8888888888888888,0.36970474967907574,162.0
class_4,0.9573317307692307,0.9906716417910447,0.9737163814180929,1608.0
accuracy,0.9107893294354102,0.9107893294354102,0.9107893294354102,0.9107893294354102
macro avg,0.6669987331866059,0.9183712203806721,0.727668018385868,21892.0
weighted avg,0.9583769025367821,0.9107893294354102,0.9278161122988292,21892.0
