epoch,accuracy,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,loss,lr,val_accuracy,val_f1_class_0,val_f1_class_1,val_f1_class_2,val_f1_class_3,val_f1_class_4,val_loss
0,0.6761103272438049,0.48709943890571594,0.6277524828910828,0.5958181619644165,0.803598940372467,0.8026841282844543,0.9264540076255798,0.001,0.7131762504577637,0.8109574913978577,0.2581092417240143,0.5379636287689209,0.12805894017219543,0.7841266393661499,0.8665336966514587
1,0.7912358045578003,0.6560977697372437,0.7697352170944214,0.7762659192085266,0.8492053151130676,0.9103370904922485,0.5926516652107239,0.001,0.7387977242469788,0.8256728053092957,0.2651529610157013,0.6265558004379272,0.1464110016822815,0.8401917219161987,0.7434084415435791
2,0.8268367052078247,0.7025987505912781,0.8106981515884399,0.8350963592529297,0.8637689352035522,0.9301380515098572,0.487087607383728,0.001,0.7919061779975891,0.8656858801841736,0.33262935280799866,0.6967724561691284,0.16223940253257751,0.850184977054596,0.599385678768158
3,0.84596186876297,0.7296566963195801,0.8299880027770996,0.8618544340133667,0.8732187747955322,0.9410197138786316,0.42890122532844543,0.001,0.7985304594039917,0.8698428869247437,0.33587804436683655,0.7348069548606873,0.16597677767276764,0.8470731377601624,0.5713242888450623
4,0.8590667843818665,0.7509176731109619,0.8445738554000854,0.8759734630584717,0.882729709148407,0.9456226229667664,0.3913150131702423,0.001,0.8346594572067261,0.8961302042007446,0.38406282663345337,0.7779026031494141,0.18513229489326477,0.868907630443573,0.48787230253219604
5,0.8694592714309692,0.7693324685096741,0.8554014563560486,0.8859915733337402,0.8907813429832458,0.949114203453064,0.3619571328163147,0.001,0.8342787623405457,0.8952540755271912,0.3936094641685486,0.7811364531517029,0.18593870103359222,0.8681907057762146,0.4837566018104553
6,0.8785783052444458,0.7863621115684509,0.8637132048606873,0.8933444619178772,0.8988140821456909,0.9529265761375427,0.337841272354126,0.001,0.8532759547233582,0.9084398746490479,0.41581419110298157,0.7923303246498108,0.22014008462429047,0.87621009349823,0.4365330636501312
7,0.8862268328666687,0.8006120324134827,0.8712694048881531,0.8994814157485962,0.9053322076797485,0.9557260274887085,0.31798112392425537,0.001,0.8508394360542297,0.906700849533081,0.4160585403442383,0.8049141764640808,0.20633119344711304,0.8774148225784302,0.43280184268951416
8,0.893220841884613,0.8128166198730469,0.8782088160514832,0.9047648906707764,0.9120498895645142,0.958945631980896,0.3004783093929291,0.001,0.8677047491073608,0.9185434579849243,0.4552241563796997,0.812583863735199,0.21563005447387695,0.8957020044326782,0.39114072918891907
9,0.898168683052063,0.8214117884635925,0.8837462663650513,0.9092760682106018,0.9163636565208435,0.9606354236602783,0.2865906357765198,0.001,0.8673239946365356,0.9180275201797485,0.4487561583518982,0.815162718296051,0.22325482964515686,0.896564781665802,0.3878990113735199
10,0.9024936556816101,0.8290095329284668,0.8882680535316467,0.9131689667701721,0.9197272658348083,0.9623447060585022,0.2740367650985718,0.001,0.8588723540306091,0.9121005535125732,0.4466620683670044,0.791362464427948,0.21409665048122406,0.8936923742294312,0.4036371111869812
11,0.907303512096405,0.8365535736083984,0.8929646015167236,0.9173988699913025,0.9253228902816772,0.9640852212905884,0.26207610964775085,0.001,0.882361888885498,0.9284985661506653,0.4768708348274231,0.8316574096679688,0.25755736231803894,0.8921464085578918,0.34316983819007874
12,0.9118098020553589,0.8449759483337402,0.8975438475608826,0.9206628203392029,0.9300722479820251,0.9653663039207458,0.251344233751297,0.001,0.8795065879821777,0.9264241456985474,0.4521849453449249,0.8328740000724792,0.26666441559791565,0.8982892632484436,0.34287723898887634
13,0.9153620004653931,0.8500091433525085,0.9014685750007629,0.9246518015861511,0.9335989356040955,0.9665717482566833,0.24139279127120972,0.001,0.8788213133811951,0.9256991744041443,0.44814828038215637,0.8312229514122009,0.26016879081726074,0.9085456132888794,0.34437158703804016
14,0.9182518720626831,0.855129063129425,0.9042506217956543,0.926668643951416,0.9368197321891785,0.9679795503616333,0.23385140299797058,0.001,0.898846447467804,0.9392672777175903,0.494843065738678,0.8521414995193481,0.30107343196868896,0.9115380048751831,0.29946577548980713
15,0.9217331409454346,0.8603845834732056,0.9080281257629395,0.9303277134895325,0.9402660131454468,0.9691832661628723,0.2255648970603943,0.001,0.8959531188011169,0.9372884035110474,0.49134305119514465,0.8491741418838501,0.2868104577064514,0.9163572788238525,0.30531033873558044
16,0.9245402216911316,0.8649352192878723,0.9099705219268799,0.9328476190567017,0.9433484673500061,0.9708845019340515,0.21798363327980042,0.001,0.905013918876648,0.9434480667114258,0.5025732517242432,0.8621057271957397,0.2919921875,0.939422070980072,0.2805517911911011
17,0.9274064302444458,0.8698500394821167,0.9139540791511536,0.9346106648445129,0.9452828168869019,0.9727180004119873,0.21029575169086456,0.001,0.9008641839027405,0.9406303763389587,0.5098538994789124,0.8439997434616089,0.2838745415210724,0.9329788684844971,0.2892683148384094
18,0.9301779866218567,0.8740522861480713,0.9160082936286926,0.9375361800193787,0.947914719581604,0.9745827913284302,0.20355458557605743,0.001,0.9086686968803406,0.9458647966384888,0.5030646920204163,0.8596551418304443,0.3099903464317322,0.9513720273971558,0.27091094851493835
19,0.9321926236152649,0.8779118061065674,0.9189257025718689,0.9391381144523621,0.9495046734809875,0.9749205112457275,0.19782735407352448,0.001,0.906650960445404,0.9442884922027588,0.501686692237854,0.8616501688957214,0.31200727820396423,0.9407059550285339,0.2750157117843628
20,0.933655321598053,0.8795731067657471,0.9198011159896851,0.9410787224769592,0.9516621232032776,0.9753525853157043,0.19286870956420898,0.001,0.9045570492744446,0.9427206516265869,0.5028710961341858,0.8609889149665833,0.3076239228248596,0.9332614541053772,0.28159546852111816
21,0.9363559484481812,0.8849999904632568,0.9240259528160095,0.9425370097160339,0.9535472989082336,0.9760658144950867,0.18695540726184845,0.001,0.9172345399856567,0.9511557221412659,0.5356330871582031,0.8666328191757202,0.3230280578136444,0.9555403590202332,0.24552364647388458
22,0.9377831220626831,0.8862550854682922,0.924558162689209,0.9442698359489441,0.9556016325950623,0.9774304628372192,0.18243472278118134,0.001,0.9116382002830505,0.9473291635513306,0.5041755437850952,0.8593648076057434,0.3426700234413147,0.9522173404693604,0.26436179876327515
23,0.9392930865287781,0.8887355327606201,0.9263640642166138,0.945762038230896,0.9576213359832764,0.9773960709571838,0.17876653373241425,0.001,0.9157878756523132,0.950018584728241,0.5313325524330139,0.8757461905479431,0.32484883069992065,0.9474287033081055,0.2516424357891083
24,0.9407123923301697,0.8909889459609985,0.9282073378562927,0.9469146728515625,0.9591973423957825,0.9775203466415405,0.17449398338794708,0.001,0.9216126799583435,0.9538123607635498,0.5400739312171936,0.8781816959381104,0.34348902106285095,0.9558839797973633,0.2360074669122696
25,0.9421080350875854,0.8930579423904419,0.930813729763031,0.9476379156112671,0.9597812294960022,0.9786331057548523,0.17072276771068573,0.001,0.9193284511566162,0.9522913694381714,0.5469284653663635,0.8734893202781677,0.34166204929351807,0.9443220496177673,0.24338804185390472
26,0.9440478086471558,0.8967552185058594,0.9323245882987976,0.9496815204620361,0.9617794156074524,0.9790306091308594,0.16645337641239166,0.001,0.9070696830749512,0.9439696669578552,0.4790021777153015,0.8650060892105103,0.3547969460487366,0.9457534551620483,0.26872169971466064
27,0.9451043605804443,0.8981339335441589,0.9334284663200378,0.9505819082260132,0.9628832936286926,0.9797257781028748,0.16290625929832458,0.001,0.922145664691925,0.9540883302688599,0.535809338092804,0.8711360096931458,0.3678430914878845,0.9558885097503662,0.23606255650520325
