epoch,accuracy,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,loss,lr,val_accuracy,val_f1_class_0,val_f1_class_1,val_f1_class_2,val_f1_class_3,val_f1_class_4,val_loss
0,0.5412499308586121,0.44517871737480164,0.4762294888496399,0.48571541905403137,0.6366440057754517,0.635131299495697,1.143022894859314,0.000100000005,0.07728328555822372,0.0,0.06245800107717514,0.15278802812099457,0.08760809898376465,0.12918564677238464,2.601801633834839
1,0.701612114906311,0.5896010994911194,0.6707282662391663,0.6711033582687378,0.7546350955963135,0.8071900010108948,0.7801982164382935,0.000100000005,0.11699090152978897,0.0002722440694924444,0.08537109196186066,0.24992243945598602,0.09690256416797638,0.3549726605415344,2.7744505405426025
2,0.7486000061035156,0.6432788372039795,0.7285709381103516,0.7242642641067505,0.7907947897911072,0.8435300588607788,0.6769630908966064,0.000100000005,0.16697756946086884,0.03878796473145485,0.09054935723543167,0.3701992630958557,0.08245441317558289,0.5796612501144409,2.3307740688323975
3,0.7740440964698792,0.6746589541435242,0.7566471099853516,0.7533064484596252,0.8109413981437683,0.863641619682312,0.613991379737854,0.000100000005,0.39917007088661194,0.44707995653152466,0.13748595118522644,0.45576101541519165,0.08684042096138,0.7085311412811279,1.403252124786377
4,0.7935885190963745,0.7009854316711426,0.7755308747291565,0.7752593755722046,0.8267332315444946,0.879548192024231,0.5654294490814209,0.000100000005,0.5886092782020569,0.6793296337127686,0.18278424441814423,0.5800328850746155,0.11642637848854065,0.7751150131225586,0.9809877872467041
5,0.8112834095954895,0.7247208952903748,0.7920004725456238,0.7951781153678894,0.8434920310974121,0.8920442461967468,0.5242361426353455,0.000100000005,0.6351315379142761,0.7263632416725159,0.19146466255187988,0.6260082721710205,0.1300744116306305,0.8036041259765625,0.8607175350189209
6,0.8232837319374084,0.7397616505622864,0.8034141063690186,0.808784544467926,0.8535625338554382,0.9025946855545044,0.4922138452529907,0.000100000005,0.6469334363937378,0.7372259497642517,0.19689401984214783,0.6341736912727356,0.13382093608379364,0.8140620589256287,0.838148295879364
7,0.8337303400039673,0.754917562007904,0.8140258193016052,0.8201668858528137,0.8620110750198364,0.9096265435218811,0.46443071961402893,0.000100000005,0.6469714641571045,0.736825704574585,0.19418886303901672,0.6398724913597107,0.13688789308071136,0.8211404085159302,0.8347413539886475
8,0.8431081771850586,0.7669206857681274,0.8236808776855469,0.8306888937950134,0.8693061470985413,0.9178435802459717,0.44079920649528503,0.000100000005,0.6414512395858765,0.7310746312141418,0.18716742098331451,0.6521113514900208,0.13887223601341248,0.8259404897689819,0.8488669991493225
9,0.8507390022277832,0.7761975526809692,0.8303107023239136,0.8399704694747925,0.8769784569740295,0.9236581921577454,0.4193652868270874,0.000100000005,0.6423268914222717,0.7317095994949341,0.18571914732456207,0.6594616770744324,0.14052297174930573,0.8293870687484741,0.8472437262535095
10,0.8574944138526917,0.7843338847160339,0.8364307284355164,0.8476558923721313,0.8842269778251648,0.9281058311462402,0.40164175629615784,0.000100000005,0.6368446946144104,0.7260878086090088,0.18484193086624146,0.6592369079589844,0.1383582502603531,0.8261617422103882,0.8711808323860168
11,0.863875150680542,0.7934190034866333,0.8440902233123779,0.8542153835296631,0.8881979584693909,0.933165431022644,0.3843570947647095,0.000100000005,0.6317432522773743,0.7209529876708984,0.18535803258419037,0.6507949233055115,0.13558095693588257,0.8218474984169006,0.8936235308647156
12,0.8693488240242004,0.8003877997398376,0.8506426811218262,0.8607895374298096,0.8923271894454956,0.9368555545806885,0.36916452646255493,0.000100000005,0.6495983600616455,0.7380878925323486,0.19223755598068237,0.6604559421539307,0.144041508436203,0.8301613330841064,0.8497974872589111
13,0.8735408782958984,0.8050805330276489,0.8558698892593384,0.8655210137367249,0.895516037940979,0.9402207732200623,0.35672375559806824,0.000100000005,0.6308295726776123,0.7199143171310425,0.17999304831027985,0.6772655844688416,0.13974550366401672,0.8160375356674194,0.907429575920105
14,0.8792353868484497,0.812275230884552,0.8613136410713196,0.8717969655990601,0.9021590352058411,0.9434735178947449,0.34269437193870544,0.000100000005,0.6685575246810913,0.7560027837753296,0.1992489993572235,0.688075602054596,0.14944782853126526,0.8358097076416016,0.8122316598892212
15,0.8841372728347778,0.81780606508255,0.8675387501716614,0.877949595451355,0.9059367179870605,0.9464309215545654,0.33049485087394714,0.000100000005,0.6530627608299255,0.7413452863693237,0.1935175061225891,0.6692082285881042,0.14338356256484985,0.8347853422164917,0.851408064365387
16,0.8876470923423767,0.8224749565124512,0.8708294630050659,0.8820289969444275,0.9091200232505798,0.9491156339645386,0.32024434208869934,0.000100000005,0.6629992127418518,0.7508312463760376,0.2000499665737152,0.6655399799346924,0.14585278928279877,0.8443780541419983,0.8319751620292664
17,0.8909873366355896,0.8268696665763855,0.8738733530044556,0.8861531019210815,0.9129107594490051,0.9505500793457031,0.3105241656303406,0.000100000005,0.6813111305236816,0.7676283121109009,0.2085915356874466,0.6846478581428528,0.15000607073307037,0.8499516844749451,0.7876061797142029
18,0.8945010304450989,0.8310534358024597,0.8782202005386353,0.8898769021034241,0.9148220419883728,0.9543083906173706,0.30069056153297424,0.000100000005,0.6757528185844421,0.7627638578414917,0.20390087366104126,0.6982423067092896,0.14966224133968353,0.8450822830200195,0.7982282042503357
19,0.8980581760406494,0.8373154997825623,0.8815112113952637,0.8935199975967407,0.9178979396820068,0.9560866951942444,0.29138174653053284,0.000100000005,0.7084174156188965,0.7918670177459717,0.21941155195236206,0.7030638456344604,0.1698794662952423,0.8617556691169739,0.7125986218452454
20,0.9018755555152893,0.842464029788971,0.8861395716667175,0.8973685503005981,0.9205666184425354,0.9590144753456116,0.28181588649749756,0.000100000005,0.692313551902771,0.7774911522865295,0.20896972715854645,0.7086707353591919,0.1621212661266327,0.8513138294219971,0.7547696828842163
21,0.9039104580879211,0.8444617986679077,0.8886321783065796,0.8998278379440308,0.9225392937660217,0.9603191018104553,0.2741977870464325,0.000100000005,0.7057144045829773,0.7893351912498474,0.21566319465637207,0.7252989411354065,0.16759681701660156,0.8592996001243591,0.7256765961647034
22,0.9065408110618591,0.8484979867935181,0.8911486864089966,0.9018797874450684,0.9254723787307739,0.962125301361084,0.26709073781967163,0.000100000005,0.70343017578125,0.787042498588562,0.21707621216773987,0.7178152799606323,0.16443990170955658,0.8625501990318298,0.7329221963882446
23,0.909569501876831,0.8531190752983093,0.894530713558197,0.9050339460372925,0.927638828754425,0.9639824032783508,0.259602814912796,0.000100000005,0.7365515828132629,0.8160815834999084,0.23521199822425842,0.7292822599411011,0.17979742586612701,0.876426637172699,0.6485390067100525
24,0.9116004705429077,0.8541353940963745,0.8969330787658691,0.908174991607666,0.9296931624412537,0.9658316969871521,0.2535422146320343,0.000100000005,0.739673376083374,0.8185608386993408,0.23918816447257996,0.7416544556617737,0.1768171787261963,0.8755146265029907,0.6488162875175476
25,0.9149091243743896,0.8602812886238098,0.9006406664848328,0.9109135866165161,0.9323641657829285,0.9672073721885681,0.24576424062252045,0.000100000005,0.7577568888664246,0.8337510228157043,0.25304362177848816,0.7445357441902161,0.1821746826171875,0.8975158333778381,0.610263466835022
26,0.9170781373977661,0.8638612031936646,0.9026075601577759,0.9135124087333679,0.9340699315071106,0.9685909152030945,0.23944003880023956,0.000100000005,0.741500735282898,0.8198662996292114,0.23716773092746735,0.7411808371543884,0.18355372548103333,0.8815643787384033,0.644233763217926
27,0.9194639921188354,0.8664026856422424,0.9058228135108948,0.9163852334022522,0.9361162781715393,0.9698477983474731,0.23358450829982758,0.000100000005,0.7700536847114563,0.8436320424079895,0.2620846629142761,0.7588999271392822,0.18731485307216644,0.8992388844490051,0.5795406699180603
28,0.9204656481742859,0.8679211735725403,0.9062601923942566,0.9171717762947083,0.9377099871635437,0.9704052209854126,0.22938679158687592,0.000100000005,0.7610309720039368,0.8360699415206909,0.2518137991428375,0.7561166286468506,0.19031621515750885,0.8945710062980652,0.6008318066596985
29,0.9225596785545349,0.8712649941444397,0.9085145592689514,0.9190184473991394,0.9395260810852051,0.9721132516860962,0.22269916534423828,0.000100000005,0.7695206999778748,0.8430588245391846,0.2624860107898712,0.7494373917579651,0.18966302275657654,0.902099072933197,0.5829010009765625
30,0.9242475628852844,0.8730951547622681,0.91071617603302,0.9219772219657898,0.9404826164245605,0.9724552035331726,0.21916303038597107,0.000100000005,0.7663227915763855,0.8404762744903564,0.26082417368888855,0.751713216304779,0.18956591188907623,0.8908363580703735,0.5918062329292297
