epoch,accuracy,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,loss,lr,val_accuracy,val_f1_class_0,val_f1_class_1,val_f1_class_2,val_f1_class_3,val_f1_class_4,val_loss
0,0.7734471559524536,0.6471167206764221,0.7326151132583618,0.7633655071258545,0.8247058987617493,0.8903617858886719,0.6130566000938416,0.001,0.14009974896907806,0.12062503397464752,0.09016941487789154,0.15205584466457367,0.07509433478116989,0.3692823648452759,1.9510982036590576
1,0.877210259437561,0.777759313583374,0.8509984016418457,0.8943948149681091,0.8993273377418518,0.9639819860458374,0.3327702581882477,0.001,0.2664179503917694,0.29044991731643677,0.18995288014411926,0.23594912886619568,0.06125280633568764,0.7022221088409424,1.6251256465911865
2,0.9033136963844299,0.82124924659729,0.8779388666152954,0.918930172920227,0.9231505990028381,0.9750813841819763,0.26574334502220154,0.001,0.4538774788379669,0.5262966156005859,0.15155097842216492,0.4371831715106964,0.08586719632148743,0.9115259647369385,1.269784927368164
3,0.9200654625892639,0.8493000268936157,0.8981105089187622,0.9341702461242676,0.9379772543907166,0.9801146388053894,0.22364641726016998,0.001,0.672136127948761,0.7602589130401611,0.19298602640628815,0.7043706178665161,0.1361774355173111,0.951819121837616,0.7506993412971497
4,0.9322596788406372,0.8690269589424133,0.9129562973976135,0.9455739855766296,0.9496027231216431,0.9835313558578491,0.19284968078136444,0.001,0.6983667612075806,0.7851705551147461,0.17886106669902802,0.7263988256454468,0.2257399708032608,0.9615663290023804,0.6869003176689148
5,0.9402866363525391,0.884147047996521,0.9219455122947693,0.9514132738113403,0.9569536447525024,0.9862604737281799,0.17001348733901978,0.001,0.6788746118545532,0.7655824422836304,0.17549745738506317,0.74151611328125,0.18627390265464783,0.9612408876419067,0.7570015788078308
6,0.94718998670578,0.8956041932106018,0.9305045008659363,0.9583913087844849,0.9623902440071106,0.9883743524551392,0.15161572396755219,0.001,0.9000647068023682,0.9392058253288269,0.41495832800865173,0.885070264339447,0.3643103241920471,0.9719584584236145,0.2835688591003418
7,0.9521299600601196,0.9048110246658325,0.9358428716659546,0.962059497833252,0.9670909643173218,0.9901248216629028,0.1375144124031067,0.001,0.9047474265098572,0.9427292346954346,0.5163984298706055,0.8485997915267944,0.2664540410041809,0.9744302034378052,0.2635956108570099
8,0.9571093320846558,0.9142248630523682,0.9422739744186401,0.9654706716537476,0.9717835783958435,0.991187334060669,0.12452053278684616,0.001,0.8900521397590637,0.9319256544113159,0.4562395215034485,0.8477449417114258,0.2699446380138397,0.9779590964317322,0.3017756938934326
9,0.9598612189292908,0.9181779026985168,0.9457233548164368,0.9693313837051392,0.9732679724693298,0.9922667145729065,0.11551995575428009,0.001,0.9034149050712585,0.9420489072799683,0.48916471004486084,0.8558387756347656,0.2774341106414795,0.9658546447753906,0.2772529125213623
10,0.9629600644111633,0.9243528842926025,0.9498085975646973,0.9706646800041199,0.9766708612442017,0.9926618933677673,0.10718237608671188,0.001,0.8710168600082397,0.9195727109909058,0.3058169484138489,0.8676407933235168,0.5064062476158142,0.9724013805389404,0.3357616066932678
11,0.965562105178833,0.9290444254875183,0.9532102942466736,0.9735584259033203,0.978274941444397,0.9930704832077026,0.10097401589155197,0.001,0.8899760246276855,0.9314272999763489,0.46129629015922546,0.8160834908485413,0.30534636974334717,0.9757464528083801,0.3065512776374817
12,0.9677659869194031,0.933983325958252,0.9565941095352173,0.9745239615440369,0.9793793559074402,0.9937282800674438,0.09495176374912262,0.001,0.9478814005851746,0.9704714417457581,0.5759330987930298,0.7330860495567322,0.6223675608634949,0.9677018523216248,0.2294381558895111
13,0.9697845578193665,0.9374943971633911,0.9591363668441772,0.9763125777244568,0.9810677170753479,0.9944447875022888,0.08868884295225143,0.001,0.9338333010673523,0.96195387840271,0.5801497101783752,0.8268159031867981,0.42734387516975403,0.9645634889602661,0.21215315163135529
14,0.9719805121421814,0.9417587518692017,0.9624903202056885,0.9775581359863281,0.9822782874107361,0.9953868985176086,0.08331411331892014,0.001,0.8793542981147766,0.9248009324073792,0.4119146466255188,0.8631454110145569,0.264234721660614,0.9624974727630615,0.3450741469860077
15,0.9729228019714355,0.9443323016166687,0.9634703397750854,0.9781592488288879,0.9830189943313599,0.9951669573783875,0.08007597178220749,0.001,0.9444550275802612,0.9681357145309448,0.5082957744598389,0.9135310649871826,0.6141296029090881,0.9771099090576172,0.17021019756793976
16,0.9744918942451477,0.9468196034431458,0.9656105637550354,0.9801924824714661,0.9838656783103943,0.995496392250061,0.07599712908267975,0.001,0.8823999762535095,0.926573634147644,0.31475260853767395,0.9298772811889648,0.5793505311012268,0.9711205363273621,0.32448631525039673
17,0.9756549596786499,0.9493677020072937,0.9675349593162537,0.9806280732154846,0.9847821593284607,0.9955589771270752,0.07307565957307816,0.001,0.8996459245681763,0.9449921250343323,0.39402228593826294,0.6111188530921936,0.3340846300125122,0.8835729956626892,0.6789869666099548
18,0.9767194390296936,0.9513994455337524,0.9687187075614929,0.9818690419197083,0.9849738478660583,0.9962409138679504,0.07020270079374313,0.001,0.9352419376373291,0.9620186686515808,0.5351119041442871,0.9045350551605225,0.4949786961078644,0.972129762172699,0.19998037815093994
19,0.9769520163536072,0.9514728784561157,0.9690382480621338,0.982018768787384,0.9855031371116638,0.9963038563728333,0.06818370521068573,0.001,0.8563216328620911,0.9081755876541138,0.3197195827960968,0.8349471688270569,0.36934155225753784,0.9696394205093384,0.39239585399627686
20,0.9780953526496887,0.95417320728302,0.9706208109855652,0.9825432896614075,0.9862633943557739,0.9965429902076721,0.06563834100961685,0.001,0.9536300301551819,0.9744223356246948,0.6726691722869873,0.8481711149215698,0.5587476491928101,0.9668828248977661,0.17476260662078857
21,0.9786039590835571,0.9558579325675964,0.9716511964797974,0.9826123714447021,0.9862716197967529,0.996435284614563,0.06394265592098236,0.001,0.9248105883598328,0.9549872279167175,0.4836167097091675,0.9094730019569397,0.4671608805656433,0.9786291122436523,0.22606810927391052
22,0.9799246788024902,0.957807719707489,0.9739832282066345,0.9836470484733582,0.9870506525039673,0.9968022704124451,0.060787398368120193,0.001,0.9317394495010376,0.9596922397613525,0.6440747976303101,0.8988428115844727,0.3038291931152344,0.9700034856796265,0.22975748777389526
23,0.9798616170883179,0.9578567743301392,0.9734904170036316,0.9839379191398621,0.9871119856834412,0.9965782761573792,0.05993868410587311,0.001,0.9608253836631775,0.9777942895889282,0.7696128487586975,0.9271048903465271,0.420434832572937,0.9815393686294556,0.13485227525234222
24,0.9809970855712891,0.960076093673706,0.9750786423683167,0.9846846461296082,0.9879517555236816,0.9969421625137329,0.057939667254686356,0.001,0.9569802284240723,0.9755456447601318,0.5876462459564209,0.9373310804367065,0.6710149049758911,0.9847840070724487,0.14994026720523834
25,0.9816870093345642,0.961255669593811,0.9756991863250732,0.9853600263595581,0.9884243011474609,0.9974149465560913,0.05578320100903511,0.001,0.9521071910858154,0.9733561277389526,0.7471758723258972,0.9086245894432068,0.34363508224487305,0.9802535176277161,0.16380786895751953
26,0.9820536375045776,0.9626883268356323,0.9762853384017944,0.9850592017173767,0.9886608123779297,0.9972882866859436,0.05498204380273819,0.001,0.8943541049957275,0.9346980452537537,0.34594792127609253,0.8967809081077576,0.6272331476211548,0.9802526831626892,0.3123435080051422
27,0.9825583100318909,0.963100790977478,0.9768064618110657,0.9860519766807556,0.9889808893203735,0.9975554347038269,0.05331258103251457,0.001,0.9352419376373291,0.9616116285324097,0.5549174547195435,0.9106517434120178,0.43990358710289,0.9717087149620056,0.2090103030204773
28,0.9828303456306458,0.963452160358429,0.9768770933151245,0.9864956736564636,0.9897649884223938,0.9973180890083313,0.0518931970000267,0.001,0.9594167470932007,0.9775633215904236,0.6540816426277161,0.9209734797477722,0.5925978422164917,0.9760945439338684,0.14011844992637634
29,0.9835084676742554,0.9649127125740051,0.9782811403274536,0.9867393970489502,0.9897388219833374,0.9975548982620239,0.050710830837488174,0.001,0.9385160207748413,0.9636183381080627,0.5728639960289001,0.8916286826133728,0.48511508107185364,0.9818294048309326,0.19878241419792175
30,0.9837883710861206,0.9657545685768127,0.97901850938797,0.9867678284645081,0.9898084998130798,0.9973818063735962,0.04920858144760132,0.001,0.945292592048645,0.9678922891616821,0.6405742168426514,0.8816332221031189,0.47573789954185486,0.980452835559845,0.1825493723154068
31,0.9841077327728271,0.9662293791770935,0.9792763590812683,0.9873523116111755,0.9897992014884949,0.9976999163627625,0.049268126487731934,0.001,0.9447976350784302,0.9675968885421753,0.5686131715774536,0.9252342581748962,0.5333042144775391,0.97902911901474,0.18291617929935455
32,0.9841707944869995,0.9667488932609558,0.979110062122345,0.9870172739028931,0.9900838732719421,0.9976420402526855,0.04820043966174126,0.001,0.9518787860870361,0.9728167057037354,0.6754864454269409,0.8695148825645447,0.4978121519088745,0.9690993428230286,0.20006348192691803
33,0.9848528504371643,0.9678013324737549,0.9796348214149475,0.9880445003509521,0.9907163381576538,0.9978480935096741,0.046693116426467896,0.001,0.9372977614402771,0.9631329774856567,0.6379909515380859,0.9127274751663208,0.3219124674797058,0.9811680912971497,0.2128480225801468
34,0.9864535331726074,0.9711052179336548,0.9823841452598572,0.9890609383583069,0.9913210868835449,0.9981414079666138,0.04322835057973862,0.000100000005,0.9510031342506409,0.9715604186058044,0.6267948746681213,0.9291460514068604,0.5025352239608765,0.9741507768630981,0.16797146201133728
35,0.9865678548812866,0.9710742831230164,0.9824760556221008,0.9893194437026978,0.9915355443954468,0.998214602470398,0.0424521304666996,0.000100000005,0.9539726376533508,0.9734005331993103,0.6415145397186279,0.9286215305328369,0.5141756534576416,0.9800532460212708,0.15930670499801636
36,0.9865717887878418,0.9715181589126587,0.9824408292770386,0.9891026020050049,0.9916518926620483,0.9979783892631531,0.042394742369651794,0.000100000005,0.9553051590919495,0.9742545485496521,0.6416891813278198,0.931787371635437,0.5303629636764526,0.9802951812744141,0.15397226810455322
37,0.9869187474250793,0.9719001054763794,0.9828317761421204,0.9896782636642456,0.991680383682251,0.9983058571815491,0.04132726788520813,0.000100000005,0.9577035903930664,0.9757319092750549,0.6598325967788696,0.9320748448371887,0.5389136075973511,0.9798192381858826,0.1465459018945694
38,0.9868319630622864,0.9717409610748291,0.9826801419258118,0.9894750118255615,0.9917362332344055,0.9982986450195312,0.04156902804970741,0.000100000005,0.9566376209259033,0.9750301837921143,0.661462128162384,0.928278386592865,0.5289817452430725,0.9800369739532471,0.15114136040210724
